X7,X16,X33,X4,X23,X17,X24,X27,X28,X10,X31,X36,X40,X2,X14,X25,X32,X6,X8,X22,X5,X11,X35,X38,X29,X30,X12,X20,X26,X9,X18,X19,X34,X1,X3,X13,X15,X21,X37,X39
1,2,1,3,0,1,3,3,1,0,2,2,3,1,2,1,1,2,0,0,1,2,1,2,1,3,1,0,1,2,2,2,1,0,2,0,1,1,0,0
0,1,0,1,0,1,0,1,2,0,0,0,2,1,2,0,2,2,1,1,0,2,0,0,3,1,0,0,0,2,0,1,0,1,2,0,0,0,1,0
1,1,0,0,0,0,2,3,1,1,0,1,3,1,0,0,0,0,2,2,1,3,1,1,3,0,0,1,2,3,3,1,0,0,3,0,3,0,1,0
0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,2,0,2,0,3,1,2,0,3,1,1,0,2,3,0,0,1,2,0,0,0,0,1
0,2,0,1,0,1,2,0,0,2,2,0,0,1,2,2,0,1,1,3,1,1,0,0,2,3,1,1,1,2,1,1,1,0,0,0,2,1,0,0
1,1,0,1,0,2,2,2,1,1,2,0,3,1,0,2,0,0,2,3,1,3,1,2,0,0,0,1,1,2,0,0,0,0,2,0,0,0,2,0
0,2,1,1,0,1,3,3,1,0,0,2,2,1,2,2,1,0,1,3,1,1,1,0,1,0,0,1,2,2,3,2,0,1,0,1,0,0,2,1
0,1,0,0,0,0,2,2,0,0,1,1,1,1,0,0,1,1,2,0,1,0,0,1,1,0,1,1,1,2,2,2,1,0,0,0,2,1,2,0
1,2,0,0,0,3,3,3,0,0,1,1,3,0,0,0,1,2,2,3,1,3,1,0,2,2,0,0,2,3,3,0,0,0,2,0,3,1,2,1
1,2,0,0,0,0,1,3,1,0,1,0,3,0,0,2,1,2,2,3,0,0,1,1,2,2,0,0,0,0,0,1,1,0,2,0,1,1,0,1
0,2,0,0,0,1,3,1,0,0,2,0,0,1,1,2,0,2,1,1,0,3,1,0,1,3,1,1,0,2,0,0,1,0,1,0,1,0,1,1
1,2,0,0,0,2,2,3,1,1,0,0,3,2,1,2,1,1,0,1,1,3,1,0,1,2,0,1,0,3,3,0,1,1,2,0,0,0,2,1
0,1,0,0,0,0,2,1,0,0,2,1,0,1,0,0,2,2,2,2,1,2,1,3,2,1,0,1,1,3,2,2,0,1,0,0,3,1,0,0
1,2,0,1,0,2,3,3,1,2,2,1,3,1,0,0,2,0,2,3,1,2,1,1,2,0,0,1,1,2,2,1,1,1,3,1,3,0,2,1
0,2,0,0,0,3,2,0,0,1,2,1,0,1,0,1,2,1,2,3,1,1,1,1,1,0,1,1,1,0,0,2,0,1,0,0,2,0,2,0
1,2,0,1,0,2,3,3,0,2,0,2,0,2,1,1,2,2,0,0,1,3,0,0,3,1,0,0,1,1,2,1,0,1,1,1,3,0,2,1
0,2,1,1,0,1,2,1,1,0,0,0,0,2,2,0,2,0,0,3,1,0,1,1,0,2,0,1,2,0,1,1,0,0,3,0,0,0,1,1
0,2,1,3,0,0,3,0,0,2,0,1,2,1,2,0,2,0,2,0,1,2,1,3,2,2,1,1,0,3,3,0,0,1,0,0,0,0,2,1
1,1,0,0,0,2,0,1,2,0,1,0,2,0,2,2,0,1,0,0,1,1,0,2,3,0,1,0,1,2,0,0,1,0,1,0,2,1,0,0
1,2,0,0,0,2,0,1,0,2,2,0,0,1,2,2,2,1,2,0,1,1,1,3,2,3,1,1,1,1,0,1,0,0,2,1,0,1,1,1
1,2,0,1,0,2,2,1,1,2,0,0,3,1,0,0,1,2,2,3,1,3,1,1,0,3,1,1,2,2,0,1,0,1,1,1,1,1,0,0
0,2,0,0,0,0,2,1,0,1,1,1,0,1,0,0,1,0,2,2,0,0,1,0,2,0,1,1,1,0,2,0,0,0,1,0,3,0,0,1
1,1,0,0,0,3,0,3,0,2,1,1,0,1,0,0,2,2,1,3,1,1,0,1,3,1,0,1,2,0,2,1,1,0,2,0,1,1,0,1
0,2,1,2,0,1,2,3,0,0,2,0,0,2,0,1,1,2,0,1,1,1,0,2,1,1,0,1,2,1,3,2,1,0,2,0,3,1,1,1
1,2,0,0,0,0,0,3,1,0,1,1,2,0,0,2,1,1,2,3,1,3,0,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0
0,2,2,3,0,0,3,3,1,0,1,0,0,0,0,0,2,2,2,3,0,0,0,2,2,3,0,1,0,2,0,0,0,1,2,0,2,0,2,0
1,2,0,0,0,2,0,3,2,2,1,0,2,0,0,0,2,0,2,0,1,1,1,1,2,0,1,1,0,3,2,2,0,1,0,0,3,0,1,0
1,1,2,3,0,0,1,2,1,2,0,1,3,2,1,2,1,1,0,2,0,1,2,1,2,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0
1,2,0,0,0,3,0,3,0,2,2,2,0,1,1,2,2,2,0,3,1,1,0,2,1,3,1,0,2,2,0,0,1,0,2,0,3,1,1,1
0,2,0,0,0,2,1,0,1,0,2,0,1,1,2,0,1,2,0,0,1,3,0,2,1,0,1,1,0,0,0,2,1,1,2,0,2,1,0,1
1,2,0,1,0,2,3,0,0,2,0,0,3,2,0,2,0,2,0,2,1,1,0,0,3,1,0,1,0,2,2,0,1,1,2,0,3,0,1,0
0,2,0,1,0,1,3,1,0,0,2,0,0,1,2,2,0,1,0,0,1,0,0,3,2,0,1,1,2,2,1,0,1,0,3,0,0,1,2,1
0,2,0,0,0,3,2,3,2,1,2,1,2,1,0,2,0,1,2,3,1,1,0,3,1,0,0,0,0,0,3,0,1,1,2,0,2,1,1,0
0,2,0,1,0,0,2,1,0,2,2,1,0,0,0,1,0,0,2,2,0,3,1,1,0,2,0,1,2,3,0,0,0,1,3,0,0,1,1,1
1,2,1,3,0,3,3,3,1,0,1,1,3,1,0,0,1,2,0,3,0,2,2,2,1,3,1,0,1,3,0,2,1,1,2,0,2,0,2,0
1,2,2,1,0,2,0,0,1,2,0,2,2,2,2,2,1,2,2,1,0,1,0,0,3,2,0,0,0,2,2,0,0,0,2,0,0,1,1,0
1,2,0,1,0,2,1,1,0,1,0,1,0,1,0,2,2,2,1,1,0,2,2,0,1,3,0,1,2,1,3,1,0,1,1,1,1,1,0,1
0,2,0,0,0,2,2,1,2,0,1,1,1,1,0,2,0,2,2,2,1,3,1,1,2,2,1,0,0,3,3,0,0,0,1,1,1,1,1,1
0,2,0,1,0,0,2,3,2,1,0,1,2,1,0,2,1,2,2,3,1,1,1,1,3,2,0,1,1,2,0,0,0,1,0,0,1,1,1,0
0,2,0,0,0,0,2,1,0,0,0,1,2,1,0,0,1,1,1,0,1,3,0,1,3,2,0,0,0,3,3,0,1,1,0,0,3,0,1,1
1,2,0,1,0,2,2,3,1,2,2,0,1,1,2,2,1,2,0,0,1,2,2,2,1,3,1,1,0,0,1,0,0,0,0,0,1,0,1,1
1,2,0,1,0,2,0,3,0,0,0,0,0,2,2,2,2,0,0,1,0,2,0,0,2,3,1,1,2,1,1,2,1,0,3,0,3,1,0,1
0,1,0,1,1,1,3,2,2,0,0,2,2,2,2,0,2,2,0,1,1,3,2,0,3,1,1,1,0,1,0,0,1,0,3,0,0,1,2,1
0,2,0,3,0,0,0,1,0,1,2,0,0,1,0,1,2,2,2,2,1,0,1,3,3,2,0,1,2,3,1,2,0,1,2,0,0,1,0,1
1,2,0,0,0,2,0,1,0,1,0,0,0,1,1,2,1,1,1,2,1,3,0,1,1,2,0,1,2,1,0,1,0,0,0,0,1,0,2,1
1,2,1,3,0,3,3,3,0,0,2,1,0,2,0,0,1,0,0,0,1,1,2,2,0,1,0,1,0,0,3,1,0,0,3,0,2,1,0,1
1,2,0,0,0,1,2,3,0,2,0,0,0,1,0,1,2,2,2,2,1,2,1,3,1,1,0,1,2,1,1,1,1,0,2,0,1,0,0,1
1,2,0,0,0,2,0,1,1,1,0,1,1,2,0,0,1,2,2,3,1,3,1,0,2,1,1,0,1,0,3,1,0,0,3,1,1,1,2,1
1,1,0,0,0,0,2,0,0,1,1,1,0,0,0,2,0,1,2,2,1,3,1,1,0,1,0,0,1,0,0,1,0,1,2,1,0,1,0,1
1,2,0,0,0,1,3,3,2,0,0,0,1,1,2,1,1,1,0,0,1,3,1,2,1,2,1,1,2,3,0,2,1,0,0,0,1,1,2,0
1,1,0,0,0,2,2,3,1,2,0,0,3,2,0,2,0,0,2,1,1,3,0,1,2,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,2,2,0,0,1,2,1,2,0,1,2,3,0,0,0,0,3,0,2,1,0,0
1,2,0,0,0,3,3,3,0,0,2,1,2,0,0,0,2,0,1,3,1,2,1,0,1,1,1,1,0,0,1,0,0,0,2,0,2,1,2,0
1,1,0,0,0,0,3,0,2,2,0,1,2,1,0,0,1,0,2,0,1,1,1,1,2,2,0,0,0,3,1,1,1,1,2,0,1,0,2,1
0,2,1,3,0,0,3,1,0,0,1,0,0,1,1,0,2,0,1,3,1,3,0,0,2,1,0,1,1,0,1,2,0,1,1,0,0,0,1,0
1,2,0,0,0,3,2,1,1,2,1,1,2,0,0,2,2,1,1,1,0,2,0,2,0,1,1,0,0,0,1,2,0,1,2,0,2,1,0,0
0,2,1,3,0,3,2,0,1,0,0,1,3,0,1,2,1,0,0,1,0,1,2,3,3,3,1,1,2,3,3,1,1,0,1,0,1,0,2,1
0,2,1,3,0,0,0,1,0,2,1,1,0,1,0,0,2,2,0,2,1,3,1,3,3,1,1,1,2,0,1,0,0,1,0,1,2,1,1,1
0,2,0,0,0,0,3,3,1,0,0,1,3,1,0,0,0,1,2,1,0,3,2,3,3,3,1,1,2,1,2,1,1,0,0,1,3,0,0,0
1,2,1,3,0,3,2,1,1,1,0,1,3,2,0,1,1,1,0,0,1,2,0,2,3,3,0,1,1,3,3,2,0,0,2,0,0,1,0,0
0,2,1,3,0,0,0,1,0,2,1,1,2,1,1,0,2,2,1,0,1,2,0,1,0,2,1,0,1,0,3,0,1,1,3,0,1,1,0,1
0,2,0,0,0,0,3,1,0,0,1,1,0,1,0,0,2,2,2,0,1,0,0,2,1,1,0,1,2,2,2,1,0,1,1,1,3,0,1,0
1,2,0,0,0,3,3,1,0,2,1,1,0,2,0,2,0,2,2,3,1,3,1,1,2,2,0,1,0,3,3,0,1,0,1,0,2,1,2,0
1,2,0,0,0,2,2,1,2,0,2,1,2,1,0,0,2,0,2,3,1,1,1,3,0,3,1,0,1,1,0,2,0,0,0,1,0,1,2,1
1,1,0,0,0,2,3,1,1,0,2,0,0,0,1,0,1,2,0,3,0,3,2,3,2,2,0,1,0,2,0,0,1,1,1,1,0,0,0,1
1,1,1,3,0,0,2,3,0,1,1,1,0,1,0,2,2,2,0,2,0,3,0,2,3,0,1,0,0,1,1,2,1,1,2,0,1,1,1,1
1,2,0,1,0,2,2,2,0,2,0,2,0,2,2,2,2,0,0,3,1,3,0,1,0,3,1,1,2,1,0,1,1,0,0,0,2,1,1,0
0,2,2,1,0,1,2,1,0,1,1,0,0,0,2,2,1,0,2,2,0,0,1,1,0,0,0,1,2,3,1,1,0,1,2,0,2,1,1,1
0,1,1,3,0,0,2,0,1,0,0,1,1,2,2,0,1,2,1,2,0,2,2,1,2,1,1,0,2,2,2,2,0,1,0,1,3,1,2,0
1,1,0,0,0,2,0,3,0,2,0,0,0,0,2,2,2,2,1,3,1,3,0,1,2,0,1,1,2,2,0,1,1,0,1,1,0,0,0,0
1,1,0,0,0,2,2,3,1,1,2,0,1,0,0,2,1,1,2,0,1,2,1,3,2,2,1,0,2,1,0,2,0,0,3,1,1,0,2,0
1,1,0,0,0,1,3,3,0,0,1,0,0,1,0,0,2,2,1,2,1,3,0,1,0,2,0,0,0,3,0,1,0,0,0,0,2,0,2,0
0,2,1,1,0,1,3,3,1,0,2,0,0,2,2,2,0,0,0,1,1,3,0,2,0,3,0,1,2,3,2,2,0,1,3,0,1,0,2,1
0,1,2,0,0,2,3,1,1,0,0,0,0,1,0,2,2,1,0,3,1,3,0,2,2,3,1,0,2,1,2,0,0,1,0,1,3,0,2,0
1,2,1,3,0,1,2,1,0,0,1,0,2,2,2,1,1,0,1,2,1,2,1,1,3,3,1,0,2,1,1,2,1,0,0,0,3,1,2,0
1,2,0,0,0,1,0,3,0,0,0,0,0,2,0,0,2,2,0,2,0,1,2,0,1,0,1,1,2,2,1,2,1,1,2,0,2,1,1,1
0,2,1,3,0,3,2,1,1,1,2,2,2,2,2,2,1,2,0,0,1,1,2,1,1,3,1,0,1,3,0,1,0,1,0,1,0,0,2,0
0,2,0,0,0,0,2,3,0,0,2,1,0,2,0,2,2,0,2,2,1,0,1,1,1,2,1,1,2,3,2,2,0,1,0,1,0,1,2,1
1,1,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,2,2,3,1,3,1,1,1,2,0,1,1,0,2,2,0,1,3,0,1,1,2,1
0,2,1,3,0,1,2,1,0,2,0,2,2,2,2,2,1,2,1,2,0,3,0,1,3,2,0,1,2,1,2,0,1,0,3,0,1,1,2,1
1,2,1,3,0,2,3,1,1,0,2,1,2,2,0,0,2,0,2,1,1,3,0,1,0,0,1,1,0,3,1,1,1,0,1,0,0,0,2,1
0,2,0,0,0,0,0,0,1,2,0,1,3,2,0,2,1,2,0,3,0,2,2,2,0,0,0,0,2,2,0,1,0,1,2,0,0,0,1,1
0,2,0,0,0,0,0,3,0,2,1,1,2,1,0,0,2,2,2,3,1,2,0,2,0,1,1,0,2,2,0,1,0,0,1,0,3,0,1,1
0,2,1,2,0,2,0,1,0,2,2,1,0,1,0,0,1,0,1,2,1,0,1,3,1,2,1,1,0,1,1,2,0,1,0,0,3,0,0,0
1,2,0,0,0,1,2,3,0,1,2,0,2,1,2,2,2,2,0,2,1,2,0,0,3,3,1,1,2,2,2,2,0,1,2,1,3,1,2,0
1,2,0,0,0,1,1,3,0,2,2,0,0,1,2,2,1,2,0,3,1,3,0,0,1,2,0,0,2,3,3,0,1,1,2,0,1,1,1,1
1,2,0,2,0,0,3,3,1,2,2,1,1,1,0,1,0,2,2,2,1,0,1,2,1,2,1,1,1,2,2,1,1,0,2,0,1,0,1,1
0,2,0,3,0,0,2,3,2,1,1,1,2,1,0,0,2,1,2,0,1,1,1,1,3,0,1,1,2,3,2,1,0,1,1,0,1,0,2,0
0,2,0,0,0,0,2,0,1,1,0,1,0,1,0,2,1,2,2,2,1,1,0,1,3,3,1,0,0,1,2,2,1,1,1,0,3,1,0,1
