X4,X6,X12,X14,X21,X29,X38,X49,X53,X56,X62,X8,X17,X19,X50,X58,X66,X67,X75,X22,X54,X57,X77,X78,X16,X44,X51,X61,X79,X80,X3,X5,X7,X11,X36,X59,X15,X39,X40,X76,X28,X34,X48,X63,X64,X74,X25,X32,X52,X73,X20,X47,X60,X69,X70,X71,X72,X10,X30,X31,X35,X43,X9,X23,X65,X68,X2,X13,X37,X42,X45,X24,X27,X33,X55,X1,X18,X41,X46,X26
1,2,0,0,2,1,1,0,0,1,0,2,0,1,0,2,3,0,3,1,2,2,3,0,0,2,0,1,0,2,2,0,2,0,1,2,0,1,1,0,0,1,0,2,1,2,0,1,0,0,2,3,0,1,0,0,0,2,3,3,1,1,2,2,0,1,0,2,0,1,1,2,0,1,1,1,3,2,2,0
1,1,0,0,1,1,3,0,0,0,0,0,0,1,1,0,3,0,0,1,1,1,0,1,1,1,1,0,1,2,2,3,1,2,2,3,0,0,0,0,0,0,0,1,1,0,1,2,3,0,1,0,0,0,0,1,0,0,1,3,0,1,0,2,2,0,0,3,2,0,1,1,1,0,0,1,3,0,1,1
1,1,0,0,0,1,2,0,1,0,1,1,0,1,0,2,3,1,0,3,2,0,3,1,0,1,2,2,2,2,3,1,1,0,1,1,2,0,1,1,1,1,2,2,1,1,1,0,3,2,0,3,1,2,2,0,1,0,0,1,0,0,1,2,0,1,1,3,0,1,1,2,1,0,1,1,3,2,1,1
1,1,1,2,1,1,3,0,0,1,1,1,0,1,0,2,0,0,0,3,0,2,3,0,0,1,0,0,2,2,0,1,0,0,2,2,0,1,1,0,1,0,1,2,2,3,2,1,3,2,0,2,0,1,2,0,0,2,1,3,1,1,0,0,3,1,0,1,1,0,2,2,0,1,0,0,1,2,0,1
1,1,0,1,1,1,3,0,1,1,0,2,0,1,0,2,0,1,0,1,1,0,1,0,0,2,2,1,1,1,0,0,2,0,1,0,1,0,0,0,1,1,1,0,0,3,2,0,1,0,2,0,0,1,2,2,1,0,0,1,0,1,0,0,2,1,1,1,2,1,1,0,1,1,0,0,2,0,0,0
1,1,1,2,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,2,0,2,2,0,2,2,0,1,2,2,1,0,2,1,1,2,0,0,0,1,1,1,2,2,1,1,1,3,0,0,3,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,3,0,1,0,3,0,1,0,0,3,0,1,0
0,1,0,1,1,1,3,2,0,1,1,1,0,1,0,2,0,1,2,3,3,2,3,2,0,2,2,1,1,0,3,1,1,1,2,3,1,1,0,1,1,1,0,1,2,1,2,0,0,2,3,2,0,0,1,2,1,0,0,1,1,0,1,1,0,0,0,3,2,1,1,3,1,0,0,1,1,2,0,0
1,3,0,0,1,1,1,0,0,1,1,1,0,1,0,0,3,1,2,0,0,1,3,1,0,0,2,1,1,2,1,1,0,0,2,3,0,1,1,1,1,0,1,0,2,1,0,1,3,2,1,3,1,2,1,1,0,0,2,2,3,0,0,0,1,0,0,3,0,0,1,3,1,1,0,0,3,2,2,1
1,1,1,0,1,1,2,0,1,1,1,1,0,1,0,0,2,0,2,1,2,1,0,0,1,2,0,1,0,1,2,2,0,1,2,0,0,1,0,1,1,2,2,0,2,1,2,3,0,2,1,2,0,0,0,1,1,0,3,1,2,1,1,0,2,0,0,0,3,0,0,0,0,1,0,0,2,1,2,0
1,3,0,0,1,1,3,0,1,1,1,1,0,1,0,2,1,1,0,3,1,2,2,1,1,2,2,0,2,0,1,3,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,3,0,0,1,0,0,1,1,0,0,3,0,0,1,0,1,3,1,1,2,1,0,1,0,1,0,1,1,0,0,1,1
0,2,0,0,1,1,3,0,2,1,1,1,0,1,0,2,2,1,3,3,2,0,3,1,1,1,2,0,1,2,0,3,2,0,1,2,2,0,0,1,0,0,2,1,1,0,2,3,2,0,3,3,1,2,1,0,0,0,3,1,2,0,1,0,3,0,0,1,1,0,1,2,0,0,0,0,0,0,2,1
1,1,0,0,1,1,2,0,0,0,1,1,0,1,0,2,3,0,3,3,0,0,3,0,1,2,2,0,0,2,2,3,1,2,2,3,0,1,1,1,0,1,2,0,0,1,1,1,3,0,1,0,1,0,1,0,0,0,3,0,3,0,2,1,2,1,0,1,3,1,2,2,0,0,1,0,2,0,1,0
1,1,0,0,2,1,3,0,1,1,0,2,0,1,0,1,2,0,0,2,3,2,0,1,0,2,1,2,0,2,1,1,0,2,1,1,1,0,1,1,0,0,2,1,1,2,1,3,1,2,1,0,1,1,2,0,0,2,3,3,0,1,1,1,2,1,0,1,2,0,2,3,0,1,0,0,1,1,1,1
0,1,0,0,0,1,1,2,1,1,0,2,0,1,1,0,0,1,2,3,2,2,2,2,0,0,1,0,2,0,0,3,1,2,2,3,0,0,0,1,1,0,1,1,2,1,1,2,2,2,1,3,1,1,1,0,0,1,0,1,2,0,1,0,2,0,0,2,3,1,0,0,0,1,1,1,3,1,1,1
0,3,1,1,2,1,3,0,1,1,0,0,0,1,1,2,0,0,0,1,1,0,3,1,0,2,0,0,0,0,1,0,0,2,2,3,2,0,1,0,1,1,2,2,0,2,1,1,1,1,3,0,1,1,0,2,0,1,1,3,2,0,0,0,3,1,0,0,1,0,0,0,1,1,0,1,2,2,0,1
0,2,0,0,1,1,3,0,1,1,1,1,0,1,0,0,0,1,3,1,0,0,1,0,0,2,2,0,2,0,2,0,1,0,0,0,0,0,0,1,1,1,2,1,1,3,1,3,2,2,0,2,1,2,0,2,0,0,3,2,2,0,2,0,2,0,0,3,3,0,1,0,1,0,0,1,3,0,0,0
0,3,0,0,1,3,3,2,2,0,0,2,0,0,0,0,3,1,0,0,3,1,3,1,1,0,0,0,0,1,2,2,1,2,0,0,0,1,0,1,0,0,2,1,0,2,0,3,2,0,0,2,0,2,1,1,0,2,3,3,0,1,1,0,3,0,0,3,0,1,2,3,0,1,0,1,3,0,0,1
1,1,0,0,1,3,2,0,1,1,1,1,0,0,0,0,2,1,3,2,1,0,0,0,0,0,0,2,0,2,3,3,2,0,2,3,0,1,0,1,1,2,1,0,0,0,0,1,3,1,1,3,1,0,1,1,0,0,1,1,1,0,2,2,2,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1
0,3,1,2,2,1,2,0,0,1,0,2,0,1,0,0,3,0,2,0,0,2,1,0,1,1,0,1,0,2,1,2,1,2,2,3,0,1,0,1,0,2,1,0,0,2,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,3,1,1,0,1,1,1,1,3,0,0,1
1,1,0,0,2,1,1,0,1,0,0,0,0,1,0,2,1,1,1,3,0,1,3,1,1,2,2,0,0,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,0,1,1,0,0,1,0,0,2,0,0,0,0,3,1,1,1,1,2,2,0,0,0,2,0,1,0,1,1,0,1,2,2,0,1
1,3,0,0,1,1,2,0,0,1,1,1,0,1,0,2,3,0,0,3,0,1,3,0,1,1,0,0,1,2,1,2,0,2,1,3,2,0,0,0,0,2,1,1,1,2,1,2,3,1,2,2,0,1,0,0,0,0,0,0,2,1,1,2,2,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0
1,3,0,0,1,1,3,2,1,0,1,1,0,1,0,2,1,1,1,3,0,2,0,1,0,1,0,1,2,0,0,3,1,1,1,3,2,0,0,0,1,1,1,0,1,2,2,2,2,0,1,2,1,1,2,2,0,2,0,1,3,1,0,0,1,0,0,1,3,0,1,3,0,0,0,0,0,0,1,0
1,2,0,0,1,1,3,1,1,0,0,2,0,1,0,2,2,0,3,1,0,0,1,1,0,0,0,0,2,0,2,2,2,2,0,1,0,0,1,0,1,0,2,1,0,1,2,3,1,1,0,3,0,1,1,2,0,0,3,3,3,0,0,1,3,0,0,1,1,1,0,3,1,1,1,0,3,0,0,1
1,1,1,0,0,3,2,0,2,1,1,1,0,0,0,0,2,0,3,2,1,0,0,2,1,2,0,1,1,2,1,2,2,2,0,2,0,1,0,0,1,0,2,1,2,3,2,3,1,1,1,2,1,1,0,1,0,2,3,0,3,1,2,0,1,1,1,3,2,0,2,2,1,1,1,1,1,1,1,1
0,1,1,0,2,1,3,2,0,1,0,2,0,1,0,0,2,1,2,3,0,1,1,1,1,2,2,2,2,0,3,3,0,0,1,1,2,0,0,1,1,2,2,1,2,1,2,3,0,2,0,2,0,0,0,1,0,2,2,0,2,0,2,2,0,0,0,3,2,1,1,3,0,0,1,1,0,2,2,0
0,3,0,0,0,1,3,0,2,1,0,0,0,1,1,2,1,1,0,1,0,0,3,1,1,1,0,2,0,2,0,0,0,0,2,3,2,0,1,1,0,1,1,0,0,3,0,1,1,1,1,1,0,1,0,2,1,2,0,0,0,0,2,1,2,0,0,1,2,0,1,3,0,1,1,0,1,2,0,0
1,1,0,1,1,1,1,0,0,1,0,2,0,1,0,0,0,0,1,2,0,0,3,2,1,0,0,2,2,2,1,3,2,0,0,2,2,1,1,1,1,2,1,0,2,0,1,0,0,2,0,3,0,0,2,1,0,2,0,0,0,1,0,1,2,0,0,3,3,0,1,3,0,0,0,0,0,1,1,1
0,1,0,1,1,1,3,0,1,1,1,1,0,1,0,2,0,1,2,3,2,2,1,2,1,0,2,1,2,1,0,0,0,2,1,0,2,0,0,0,1,0,2,1,0,0,1,1,1,2,2,0,1,2,1,1,0,2,1,2,3,0,2,2,3,0,0,3,2,1,1,2,0,1,0,1,1,1,0,1
0,1,0,2,1,1,3,0,2,1,1,0,1,1,0,2,0,1,0,3,0,1,0,2,0,2,0,2,1,1,3,3,2,2,2,3,1,1,1,1,0,0,0,2,2,1,2,3,1,0,1,1,1,1,2,0,0,0,1,1,0,0,2,0,1,0,0,1,3,0,2,2,1,0,1,0,1,0,0,0
1,1,1,0,1,1,2,0,0,1,1,1,0,1,0,2,3,1,2,0,0,2,3,1,1,1,0,1,0,2,1,0,2,1,2,3,0,1,1,0,1,2,1,0,1,3,0,2,3,1,0,3,0,0,1,0,1,1,0,1,0,0,2,0,1,1,0,1,3,0,1,3,1,0,0,0,1,2,1,0
0,1,0,1,1,3,3,0,1,1,1,1,0,0,0,0,2,0,0,2,2,2,0,1,0,2,0,1,2,2,1,0,1,2,0,2,0,1,0,0,1,0,0,0,1,0,1,0,1,2,1,3,1,0,2,0,0,0,0,3,0,1,1,2,1,0,0,1,0,1,2,3,1,0,0,0,1,1,0,0
0,2,0,0,1,1,3,0,1,0,1,1,0,1,0,0,3,1,0,2,2,1,3,1,1,1,0,2,0,2,2,3,2,2,2,1,0,0,1,1,1,2,1,2,2,1,2,3,0,0,0,2,0,0,1,0,1,0,3,1,3,0,1,1,0,1,0,3,0,1,2,2,1,0,1,1,0,1,0,1
1,3,0,2,2,1,2,0,2,1,1,1,0,1,0,2,0,1,3,3,3,0,1,2,1,1,1,2,0,0,1,3,1,2,1,1,2,0,0,0,0,2,1,0,0,3,1,1,1,0,1,3,1,1,2,1,1,1,3,2,1,0,2,0,2,0,0,0,0,0,2,3,0,0,0,1,0,1,1,0
0,3,0,0,2,1,3,0,2,1,0,0,0,1,0,2,3,0,1,1,1,0,0,1,0,2,0,2,2,2,2,0,2,2,2,3,2,1,1,0,1,1,1,1,1,2,2,0,0,1,3,2,0,2,0,1,1,1,1,2,1,1,2,1,1,0,0,1,3,0,2,0,1,1,0,1,0,2,0,0
0,0,0,0,1,1,3,0,2,0,1,1,0,1,0,2,2,0,0,0,1,1,0,1,0,2,0,2,2,2,1,0,2,2,1,1,2,0,1,0,0,0,1,0,2,2,2,1,2,0,0,1,1,2,2,1,1,0,0,1,1,1,2,2,1,0,0,3,3,1,1,1,1,0,1,0,1,1,2,0
1,1,1,1,3,1,3,0,2,1,0,1,0,0,0,2,0,0,0,1,0,2,1,2,0,1,2,2,1,0,1,1,0,0,2,1,2,1,0,0,0,0,2,0,2,1,1,3,1,0,0,3,0,0,1,0,0,2,0,1,2,0,2,1,1,0,0,2,0,0,1,0,0,1,1,1,3,1,2,0
1,3,1,0,2,3,1,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,3,2,1,2,2,0,2,2,1,1,0,2,2,3,0,0,0,0,1,0,2,1,2,0,1,2,3,2,1,0,0,1,0,1,1,0,3,2,1,1,2,0,3,0,0,1,2,0,0,1,1,1,1,1,3,1,1,1
0,1,0,2,1,1,3,2,2,1,1,1,0,1,0,0,1,1,2,0,0,2,1,1,0,1,1,0,2,0,2,1,1,0,0,3,0,0,1,1,0,0,1,2,0,1,1,0,2,2,0,2,1,0,0,0,0,2,2,1,0,1,0,0,2,0,0,1,0,0,1,0,1,1,1,1,3,1,1,0
1,1,0,2,1,1,3,0,0,1,0,0,0,1,0,2,1,0,0,1,2,2,2,1,1,1,0,0,2,1,2,1,1,2,0,0,2,1,0,1,0,1,2,0,0,3,2,0,1,2,0,2,0,2,2,1,0,2,0,2,1,0,2,2,1,1,1,0,0,1,0,1,0,0,0,1,3,1,2,0
1,3,0,0,1,1,3,0,0,1,0,0,1,1,0,1,1,0,2,1,1,2,3,1,0,1,0,0,1,2,2,0,0,2,1,2,0,1,0,1,1,2,1,1,0,3,2,1,1,1,3,3,0,0,2,2,0,0,1,1,2,1,1,1,0,1,1,0,3,1,1,1,0,1,1,0,2,2,1,0
